City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
193,Petropavlovsk-Kamchatskiy,53.0452,158.6483,43.39,100,90,31.32,RU,2021-12-02 00:55:31
194,Poya,-21.35,165.15,85.28,66,70,3.98,NC,2021-12-02 00:55:32
195,Karasburg,-28.0167,18.75,57.09,45,62,10.4,NA,2021-12-02 00:55:33
196,Cidreira,-30.1811,-50.2056,65.34,71,16,7.61,BR,2021-12-02 00:55:34
197,Taos,36.4072,-105.5731,55.8,26,1,1.01,US,2021-12-02 00:55:34
198,Danville,36.586,-79.395,54.61,52,75,0.0,US,2021-12-02 00:52:12
199,Hasaki,35.7333,140.8333,52.29,36,0,19.91,JP,2021-12-02 00:52:44
200,Salinas,36.6777,-121.6555,73.76,44,0,1.23,US,2021-12-02 00:50:42
201,Pozo Colorado,-23.4923,-58.7972,77.4,36,3,6.29,PY,2021-12-02 00:55:37
202,Saint Anthony,45.0205,-93.218,51.73,71,1,3.0,US,2021-12-02 00:52:47
203,Isangel,-19.55,169.2667,75.31,100,40,12.66,VU,2021-12-02 00:55:38
204,Eureka,40.8021,-124.1637,58.12,82,0,1.99,US,2021-12-02 00:55:39
205,Bacolod,10.6667,122.95,80.49,85,100,12.5,PH,2021-12-02 00:55:40
206,Ostrovnoy,68.0531,39.5131,26.15,88,100,32.75,RU,2021-12-02 00:55:41
207,Clyde River,70.4692,-68.5914,7.03,85,100,25.32,CA,2021-12-02 00:54:41
208,Urengoy,65.9667,78.3667,-2.56,96,100,11.74,RU,2021-12-02 00:55:42
209,Neryungri,56.6709,124.6491,1.04,94,100,9.19,RU,2021-12-02 00:55:42
210,Moose Factory,51.2585,-80.6094,15.8,86,90,9.22,CA,2021-12-02 00:55:43
211,Chopovychi,50.8332,28.9533,31.46,97,100,14.67,UA,2021-12-02 00:55:44
212,Kaeo,-35.1,173.7833,72.32,81,99,8.46,NZ,2021-12-02 00:55:45
213,Shirokiy,49.758,129.523,1.2,92,100,5.32,RU,2021-12-02 00:55:45
214,Bundaberg,-24.85,152.35,79.09,73,90,6.91,AU,2021-12-02 00:55:46
215,Mount Gambier,-37.8333,140.7667,62.51,77,90,10.36,AU,2021-12-02 00:55:47
216,Saint-Denis,48.9167,2.3333,43.23,92,75,1.99,FR,2021-12-02 00:55:47
217,Binga,-17.6203,27.3414,77.13,41,1,3.56,ZW,2021-12-02 00:55:48
218,Voh,-20.9667,164.7,87.19,62,59,5.39,NC,2021-12-02 00:55:49
219,Wewak,-3.5534,143.6268,85.5,69,100,1.28,PG,2021-12-02 00:55:50
220,Analipsis,35.3167,25.5667,54.95,69,0,3.71,GR,2021-12-02 00:55:50
221,Vaitape,-16.5167,-151.75,76.75,83,100,12.68,PF,2021-12-02 00:55:51
222,Raudeberg,61.9875,5.1352,34.47,57,96,28.54,NO,2021-12-02 00:55:52
223,Fukue,32.6881,128.8419,46.76,61,75,6.91,JP,2021-12-02 00:55:52
224,Williams Lake,52.1415,-122.1445,35.17,94,75,2.3,CA,2021-12-02 00:55:53
225,Saint George,37.1041,-113.5841,60.94,26,0,2.48,US,2021-12-02 00:55:54
226,Tallahassee,30.4383,-84.2807,59.52,74,23,4.07,US,2021-12-02 00:55:37
227,Rio Gallegos,-51.6226,-69.2181,57.25,28,0,21.85,AR,2021-12-02 00:51:33
228,Ledyard,41.4398,-72.0142,41.67,75,1,1.01,US,2021-12-02 00:55:55
229,Kiunga,-6.1219,141.2906,79.39,83,95,3.22,PG,2021-12-02 00:55:56
230,Kulhudhuffushi,6.6221,73.07,81.32,77,38,9.17,MV,2021-12-02 00:55:57
231,Xuzhou,34.1805,117.1571,40.37,33,0,9.46,CN,2021-12-02 00:55:57
232,Jiaocheng,24.6774,116.1389,51.03,39,0,3.8,CN,2021-12-02 00:55:58
233,Seoul,37.5683,126.9778,33.24,61,0,5.75,KR,2021-12-02 00:53:40
234,Bose,45.4612,8.0137,39.96,88,100,0.47,IT,2021-12-02 00:55:59
235,Provideniya,64.3833,-173.3,0.36,50,40,6.71,RU,2021-12-02 00:54:39
236,Teguise,29.0605,-13.564,61.02,72,20,13.8,ES,2021-12-02 00:56:01
237,Svobodnyy,51.4,128.1333,2.35,77,100,5.55,RU,2021-12-02 00:56:01
238,Oltu,40.5498,42.0013,24.6,97,100,1.9,TR,2021-12-02 00:56:02
239,Mayya,61.7333,130.2811,-32.69,100,28,2.21,RU,2021-12-02 00:56:03
240,Owando,-0.4819,15.8999,70.99,97,100,2.28,CG,2021-12-02 00:56:03
241,Petrokamenskoye,57.716,60.6484,36.79,90,100,9.6,RU,2021-12-02 00:56:04
242,Kampene,-3.6,26.6667,67.46,99,99,0.81,CD,2021-12-02 00:56:05
243,Port Macquarie,-31.4333,152.9167,75.88,73,27,10.92,AU,2021-12-02 00:56:05
244,Ola,59.5833,151.2833,10.17,81,100,27.72,RU,2021-12-02 00:56:06
245,Rafai,4.95,23.9167,72.45,84,100,1.79,CF,2021-12-02 00:56:07
246,Camacha,33.0833,-16.3333,61.54,77,40,5.75,PT,2021-12-02 00:56:08
247,Comodoro Rivadavia,-45.8667,-67.5,64.26,25,26,33.38,AR,2021-12-02 00:56:09
248,Baruun-Urt,46.6806,113.2792,21.06,62,18,17.56,MN,2021-12-02 00:56:09
249,Healesville,-37.65,145.5167,91.85,42,100,6.29,AU,2021-12-02 00:56:10
250,Bintulu,3.1667,113.0333,77.41,94,20,3.0,MY,2021-12-02 00:56:11
251,Port Lavaca,28.615,-96.6261,69.22,88,1,4.61,US,2021-12-02 00:56:11
252,Millinocket,45.6573,-68.7098,28.35,71,50,6.78,US,2021-12-02 00:53:53
253,Bayan,46.0833,127.4,21.61,84,100,19.71,CN,2021-12-02 00:56:13
254,Kropotkin,45.4375,40.5756,39.6,86,76,11.05,RU,2021-12-02 00:56:13
255,Hithadhoo,-0.6,73.0833,81.57,76,91,6.62,MV,2021-12-02 00:56:14
256,Madimba,-10.4,40.3333,78.12,83,40,9.22,TZ,2021-12-02 00:56:15
257,Ayan,56.45,138.1667,5.2,75,100,19.15,RU,2021-12-02 00:56:15
258,Yerbogachen,61.2767,108.0108,-21.5,99,86,3.85,RU,2021-12-02 00:56:16
259,Beringovskiy,63.05,179.3167,1.98,88,56,12.95,RU,2021-12-02 00:56:17
260,Tarko-Sale,64.9225,77.785,5.76,96,100,10.45,RU,2021-12-02 00:56:17
261,Tautira,-17.7333,-149.15,86.02,76,100,19.69,PF,2021-12-02 00:56:18
262,Along,28.1667,94.7667,54.7,70,100,1.48,IN,2021-12-02 00:56:19
263,Lannion,48.75,-3.4167,46.42,66,75,13.8,FR,2021-12-02 00:56:19
264,Alacranes,22.7675,-81.5675,68.94,82,15,5.48,CU,2021-12-02 00:56:20
265,Namibe,-15.1961,12.1522,70.7,80,80,5.5,AO,2021-12-02 00:54:18
266,Ilam,26.9167,87.9167,55.29,66,44,5.61,NP,2021-12-02 00:56:21
267,Ulaanbaatar,47.9077,106.8832,1.53,78,0,2.24,MN,2021-12-02 00:56:22
268,Miri,4.4148,114.0089,80.74,83,20,3.44,MY,2021-12-02 00:56:23
269,Zalantun,48.0,122.7167,25.92,66,95,19.93,CN,2021-12-02 00:56:23
270,Ahipara,-35.1667,173.1667,70.88,65,100,3.0,NZ,2021-12-02 00:56:24
271,Pundaguitan,6.3711,126.1689,82.45,75,100,5.5,PH,2021-12-02 00:56:25
272,Aklavik,68.2191,-135.0107,-16.6,76,90,8.05,CA,2021-12-02 00:56:26
273,Vygonichi,53.0985,34.0673,26.71,74,96,4.47,RU,2021-12-02 00:56:26
274,Anshun,26.25,105.9333,45.3,73,100,4.52,CN,2021-12-02 00:56:27
275,Carnarvon,-24.8667,113.6333,73.47,56,0,26.46,AU,2021-12-02 00:55:24
