City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
179,Padang,ID,2021-12-03 20:27:31,-0.9492,100.3543,78.3,79,100,4.27,light rain
180,Faanui,PF,2021-12-03 20:27:31,-16.4833,-151.75,81.5,69,46,19.35,scattered clouds
181,Lagoa,PT,2021-12-03 20:27:31,39.05,-27.9833,63.9,83,74,10.58,broken clouds
182,Fonte Boa,BR,2021-12-03 20:27:32,-2.4959,-66.2662,79.14,87,100,3.0,overcast clouds
183,Cherskiy,RU,2021-12-03 20:27:32,68.75,161.3,-9.04,97,100,14.2,light snow
184,Ossora,RU,2021-12-03 20:27:32,59.2353,163.0719,23.92,67,0,20.76,clear sky
185,Sorland,NO,2021-12-03 20:27:33,67.667,12.6934,30.06,57,48,25.95,scattered clouds
186,Sobolevo,RU,2021-12-03 20:27:33,54.4299,31.8996,25.77,90,11,13.24,few clouds
187,Biloxi,US,2021-12-03 20:27:33,30.396,-88.8853,77.72,62,1,10.36,clear sky
188,Hofn,IS,2021-12-03 20:27:34,64.2539,-15.2082,30.97,57,6,10.11,clear sky
189,Dikson,RU,2021-12-03 20:27:34,73.5069,80.5464,-22.74,94,97,14.7,overcast clouds
190,Kolo,PL,2021-12-03 20:27:34,52.2002,18.6387,31.69,54,93,13.87,overcast clouds
191,Ust-Tsilma,RU,2021-12-03 20:27:35,65.441,52.1498,-4.02,93,8,6.38,clear sky
192,Streator,US,2021-12-03 20:27:35,41.1209,-88.8354,60.57,50,4,1.01,clear sky
193,Gat,IL,2021-12-03 20:24:30,31.61,34.7642,63.39,60,100,2.44,overcast clouds
194,Georgetown,MY,2021-12-03 20:25:40,5.4112,100.3354,79.9,82,20,0.0,few clouds
195,Turka,UA,2021-12-03 20:27:36,49.1541,23.0297,19.94,96,59,4.36,broken clouds
196,Castro,BR,2021-12-03 20:22:52,-24.7911,-50.0119,70.75,67,51,11.03,broken clouds
197,Nelson Bay,AU,2021-12-03 20:27:36,-32.7167,152.15,70.11,97,63,3.49,broken clouds
198,Vanimo,PG,2021-12-03 20:27:37,-2.6741,141.3028,77.5,89,47,4.47,scattered clouds
199,Canto Do Buriti,BR,2021-12-03 20:27:37,-8.11,-42.9444,84.54,57,100,1.34,overcast clouds
200,Bereda,ES,2021-12-03 20:27:37,43.2686,-7.5406,55.0,100,100,7.87,overcast clouds
201,Lakes Entrance,AU,2021-12-03 20:27:38,-37.8811,147.981,56.57,73,72,11.41,broken clouds
202,Harper,LR,2021-12-03 20:27:38,4.375,-7.7169,79.52,83,74,8.46,broken clouds
203,Tandil,AR,2021-12-03 20:27:38,-37.3217,-59.1332,63.3,75,100,13.0,light rain
204,La Palma,US,2021-12-03 20:27:39,33.8464,-118.0467,73.96,69,75,1.99,haze
205,Kasongo-Lunda,CD,2021-12-03 20:27:39,-6.4667,16.8167,71.37,99,100,2.48,light rain
206,Los Llanos De Aridane,ES,2021-12-03 20:27:39,28.6585,-17.9182,61.12,74,75,11.99,broken clouds
207,High Rock,BS,2021-12-03 20:27:40,26.6208,-78.2833,75.22,59,53,8.97,broken clouds
208,Pacifica,US,2021-12-03 20:27:40,37.6138,-122.4869,61.36,82,90,3.0,haze
209,Owensboro,US,2021-12-03 20:27:41,37.7742,-87.1133,75.16,43,1,9.22,clear sky
210,Chimbote,PE,2021-12-03 20:27:41,-9.0853,-78.5783,70.81,74,32,11.43,scattered clouds
211,Vila,PT,2021-12-03 20:27:42,42.0304,-8.1588,45.32,94,100,4.81,overcast clouds
212,Kushiro,JP,2021-12-03 20:27:42,42.975,144.3747,39.04,86,8,7.94,clear sky
213,Saryozek,KZ,2021-12-03 20:27:42,44.3583,77.9753,45.1,32,99,3.49,overcast clouds
214,San Ramon,US,2021-12-03 20:27:43,37.7799,-121.978,61.43,85,90,0.0,mist
215,Great Bend,US,2021-12-03 20:27:43,38.3645,-98.7648,64.45,42,1,3.0,clear sky
216,Cartagena,CO,2021-12-03 20:23:42,10.3997,-75.5144,87.42,66,20,9.22,few clouds
217,Samana,DO,2021-12-03 20:27:44,19.2056,-69.3369,84.42,74,40,6.91,scattered clouds
218,Darnah,LY,2021-12-03 20:27:44,32.767,22.6367,63.84,43,100,14.47,overcast clouds
219,Catalao,BR,2021-12-03 20:27:45,-18.1658,-47.9464,78.69,60,94,2.3,overcast clouds
220,Constitucion,CL,2021-12-03 20:23:08,-35.3333,-72.4167,62.67,56,2,16.02,clear sky
221,Torbay,CA,2021-12-03 20:27:45,47.6666,-52.7314,53.28,98,90,25.32,moderate rain
222,Puerto Cabezas,NI,2021-12-03 20:27:45,14.0351,-83.3888,75.16,100,40,4.61,scattered clouds
223,Yerbogachen,RU,2021-12-03 20:27:46,61.2767,108.0108,27.21,95,100,12.35,light snow
224,Mahebourg,MU,2021-12-03 20:27:46,-20.4081,57.7,78.26,83,20,8.05,few clouds
225,Portland,US,2021-12-03 20:22:58,45.5234,-122.6762,49.17,80,75,1.01,broken clouds
